,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
41199,CU,은평뉴타운점,소매,종합소매점,편의점,서울특별시,은평구,진관동,진관동,서울특별시 은평구 진관동 20,126.92296051102,37.642397530812396
41210,365PLUS화곡금호,,소매,종합소매점,편의점,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 화곡동 926-1,126.84271396687599,37.529072168043896
41290,내발산GS,,소매,종합소매점,편의점,서울특별시,강서구,발산1동,내발산동,서울특별시 강서구 내발산동 708-12,126.835439221313,37.550895785212205
41300,코리아세븐일원대청점,대청점,소매,종합소매점,편의점,서울특별시,강남구,일원1동,일원동,서울특별시 강남구 일원동 663-2,127.08360818235799,37.4921804047559
41398,CU,신사드림점,소매,종합소매점,편의점,서울특별시,강남구,신사동,신사동,서울특별시 강남구 신사동 526,127.019925331586,37.5219897008515
41727,CU,장안관광호텔점,소매,종합소매점,편의점,서울특별시,동대문구,장안1동,장안동,서울특별시 동대문구 장안동 414-4,127.060971815051,37.562329842866895
41873,세븐일레븐,용산청파점,소매,종합소매점,편의점,서울특별시,용산구,청파동,청파동1가,서울특별시 용산구 청파동1가 89-152,126.964967001397,37.548218817572604
42092,CU오금공원점,오금공원점,소매,종합소매점,편의점,서울특별시,송파구,오금동,오금동,서울특별시 송파구 오금동 72-9,127.13473824921002,37.504532056289705
42175,세븐일레븐,외대앞역점,소매,종합소매점,편의점,서울특별시,동대문구,이문1동,이문동,서울특별시 동대문구 이문동 82-13,127.06331970283001,37.5953808230504
42554,세븐일레븐응암2호점,응암2호점,소매,종합소매점,편의점,서울특별시,은평구,응암1동,응암동,서울특별시 은평구 응암동 87-30,126.922622333375,37.601460692121
42669,세븐일레븐신설중앙점,신설중앙점,소매,종합소매점,편의점,서울특별시,동대문구,용신동,신설동,서울특별시 동대문구 신설동 98-15,127.025417204239,37.5754852815803
42671,CU,영등포신길점,소매,종합소매점,편의점,서울특별시,영등포구,영등포동,영등포동7가,서울특별시 영등포구 영등포동7가 75-3,126.905895246708,37.5248628662855
42688,CU,미아중앙점,소매,종합소매점,편의점,서울특별시,강북구,송천동,미아동,서울특별시 강북구 미아동 328-22,127.025482520821,37.6182311713901
42716,GS25,영등포병원점,소매,종합소매점,편의점,서울특별시,영등포구,당산1동,당산동3가,서울특별시 영등포구 당산동3가 388-1,126.89563417934299,37.527164128247705
42738,CU,신천올림픽점,소매,종합소매점,편의점,서울특별시,송파구,잠실본동,잠실동,서울특별시 송파구 잠실동 199,127.080695316448,37.5093229361432
42772,코리아세븐중앙대R&D센터점,,소매,종합소매점,편의점,서울특별시,동작구,흑석동,흑석동,서울특별시 동작구 흑석동 221,126.953838046904,37.5047984647821
42792,지에스25상암아이티타워,,소매,종합소매점,편의점,서울특별시,마포구,상암동,상암동,서울특별시 마포구 상암동 1590,126.886033316208,37.5816136801339
42804,세븐일레븐,천호삼성점,소매,종합소매점,편의점,서울특별시,강동구,천호3동,천호동,서울특별시 강동구 천호동 155-7,127.135259806236,37.5377489031916
42873,CU,수서나산점,소매,종합소매점,편의점,서울특별시,강남구,수서동,수서동,서울특별시 강남구 수서동 726,127.103753126861,37.487063739605496
42883,세븐일레븐,길동우성점,소매,종합소매점,편의점,서울특별시,강동구,길동,길동,서울특별시 강동구 길동 144-7,127.145238923734,37.5368484141505
42912,CU,수유미래점,소매,종합소매점,편의점,서울특별시,강북구,인수동,수유동,서울특별시 강북구 수유동 518-91,127.01113338421699,37.63683529678671
42936,세븐일레븐,대치코스모점,소매,종합소매점,편의점,서울특별시,강남구,대치2동,대치동,서울특별시 강남구 대치동 1001-6,127.06489028222401,37.5077932234843
43123,비지에프리테일908,증미역점,소매,종합소매점,편의점,서울특별시,강서구,등촌1동,등촌동,서울특별시 강서구 등촌동 630-2,126.86003262134899,37.5582359473781
43133,미니스톱,가양대교점,소매,종합소매점,편의점,서울특별시,강서구,등촌3동,등촌동,서울특별시 강서구 등촌동 78-7,126.854547991351,37.5608859607239
43337,비지에프리테일중앙박불관점,박물관점,소매,종합소매점,편의점,서울특별시,용산구,서빙고동,동빙고동,서울특별시 용산구 동빙고동 135,126.99585891086201,37.5222831140524
43351,세븐일레븐,명동평화점,소매,종합소매점,편의점,서울특별시,중구,명동,명동1가,서울특별시 중구 명동1가 79-1,126.98244422702,37.5637335160621
43481,하트마트편의점,,소매,종합소매점,편의점,서울특별시,성북구,장위1동,장위동,서울특별시 성북구 장위동 231-447,127.04147678452,37.6120639169174
