,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
11636,24시미니수퍼,,소매,종합소매점,수퍼마켓,서울특별시,구로구,구로3동,구로동,서울특별시 구로구 구로동 147-6,126.893593614137,37.490661774231796
11647,공작스토어,,소매,종합소매점,수퍼마켓,서울특별시,영등포구,여의동,여의도동,서울특별시 영등포구 여의도동 21-4,126.930756150723,37.526045675175794
11721,다이소,,소매,종합소매점,수퍼마켓,서울특별시,성동구,금호4가동,금호동4가,서울특별시 성동구 금호동4가 572,127.021533036111,37.5478721550781
11892,양지슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,강서구,화곡2동,화곡동,서울특별시 강서구 화곡동 856-8,126.854928720027,37.5300832657398
11910,365플러스편의점,,소매,종합소매점,수퍼마켓,서울특별시,성동구,성수1가2동,성수동1가,서울특별시 성동구 성수동1가 13-157,127.04901301280701,37.5476551614449
11949,SM마트,,소매,종합소매점,수퍼마켓,서울특별시,성북구,석관동,석관동,서울특별시 성북구 석관동 409,127.059403133529,37.6051530130864
11956,한아름마트,,소매,종합소매점,수퍼마켓,서울특별시,관악구,청림동,봉천동,서울특별시 관악구 봉천동 1001,126.960612336512,37.4934149306333
12117,롯데슈퍼,이문점,소매,종합소매점,수퍼마켓,서울특별시,동대문구,이문1동,이문동,서울특별시 동대문구 이문동 324-10,127.05938795475099,37.594664761851604
12307,홈플러스익스프레스서울뚝섬2점,서울뚝섬2점,소매,종합소매점,수퍼마켓,서울특별시,성동구,성수1가2동,성수동1가,서울특별시 성동구 성수동1가 656-1208,127.044329955337,37.5474912047504
12327,미가도수입마트,,소매,종합소매점,수퍼마켓,서울특별시,동대문구,이문2동,이문동,서울특별시 동대문구 이문동 358-8,127.062194133302,37.604760745511996
12500,준서네슈퍼,,소매,종합소매점,수퍼마켓,서울특별시,구로구,가리봉동,가리봉동,서울특별시 구로구 가리봉동 107-44,126.88934944044901,37.4840352995821
12835,행복힐인마트,,소매,종합소매점,수퍼마켓,서울특별시,서초구,방배2동,방배동,서울특별시 서초구 방배동 942-8,126.99025105655599,37.4850849409329
12836,기쁜가게,,소매,종합소매점,수퍼마켓,서울특별시,동대문구,휘경2동,휘경동,서울특별시 동대문구 휘경동 286-89,127.06074963639,37.5881340301899
